Algorithm,R2 (WS+STD),RMSE (WS+STD),R2 (WS),RMSE (WS)
LASSO,0.8717491370682615,450.6523606433335,0.828398094104666,521.2817923807886
kNN,0.9960988786501013,78.59704754881393,0.9198460391957984,356.26568712221143
XGBoost,0.9959179680058466,80.3988255214024,0.9272706162341888,339.3645361955881
Random_Forest,0.9954153613682133,85.2047991814997,0.9288675113223914,335.61820020472203
SVR,0.9984671352872605,49.26782790426857,0.9404458981706879,307.0911791417528
LightGBM,0.9942152469047563,95.7092506513332,0.9331468056388987,325.3663116012186
