Model,R2,RMSE,MAE
LASSO,0.8717491370682615,450.6523606433335,313.1544087572726
kNN,0.9960988786501013,78.59704754881393,36.110610274128625
XGBoost,0.9959179680058466,80.3988255214024,30.633065135147316
Random_Forest,0.9954153613682133,85.2047991814997,31.813643215379518
SVR,0.9984671352872605,49.26782790426857,22.12410582133962
LightGBM_Tuned,0.994427510677414,93.93687856843734,31.69652626503698
