Model,R2,RMSE,MAE
LASSO,0.8462334677290315,754.5686603679251,478.40460129027224
kNN,0.9338556727885293,494.89624102402524,312.6429831844332
XGBoost,0.9374559761808348,481.2389413026425,295.0707728023701
Random_Forest,0.9411229705285056,466.91819572913386,293.9917112469863
SVR,0.9346026921591518,492.0936814576387,282.99396029332445
LightGBM_Tuned,0.9433370013503508,458.0550024409916,276.18561794342725
