Date,Mean_WindSpeed,Std_WindSpeed,Total_Power_kW
2012-10-02,0.5741656991700256,1.3811712251446326,37.30566397204212
2012-10-03,5.376278819501149,2.624599059160961,1702.8958944645087
2012-10-04,3.392797313277424,1.6303921182745569,311.05117724999883
2012-10-05,4.071356775932909,1.7812232654871216,585.8958174409662
2012-10-06,4.697719356845664,1.5781137899690691,806.0937414661308
2012-10-07,5.010900647302042,1.382200030669144,919.6161104065511
2012-10-08,3.392797313277424,1.453384983200991,261.29585417220204
2012-10-09,3.6537817219910718,1.951815043262689,561.0021815671168
2012-10-10,6.942185271783036,2.97778919080458,3583.7173938790106
2012-10-11,6.994382153525766,4.369599222052385,4933.639835761725
2012-10-12,5.793853873442985,3.3002157890393655,2597.8988330631237
2012-10-13,6.0026414004139035,1.9539986893417582,1874.9815034437324
2012-10-14,5.115294410787501,1.6485996673635568,1068.6072979116889
2012-10-15,6.211428927384823,2.8006711130976263,2575.779280804042
2012-10-16,5.793853873442985,2.083558891649788,1771.0480833038548
2012-10-17,3.7581754854765315,2.185450139434542,708.269416687615
2012-10-18,7.568547852695793,1.7514469366169898,3368.80422003045
2012-10-19,8.403697960579466,2.726604256449083,5171.499052410183
2012-10-20,3.9669630124474495,1.3147344756524921,427.6280938711002
2012-10-21,2.1400721514519137,1.499596794768033,76.25433597594014
2012-10-22,2.4532534419082914,1.7120466507372467,143.07592951924477
2012-10-23,3.236206668049235,2.020521526258842,471.4738413006642
2012-10-24,2.7664347323646687,2.0226309977151384,303.81100630572456
2012-10-25,4.593325593360205,2.1113454220372123,995.0141525278317
2012-10-26,7.986122906637629,1.8026415492542025,3986.6890025969524
2012-10-27,6.3680195726130115,2.5836596815910586,2548.493553728703
2012-10-28,5.16749129253023,1.2962238325331146,974.0689891968848
2012-10-29,7.516350970953063,2.2164509806081605,3604.425406489267
2012-10-30,7.620744734438522,2.4480572221370043,3936.7774731512486
2012-10-31,10.961345165973215,1.7812232654871225,9974.310952689231
2012-11-01,6.942185271783036,2.089009676350725,2746.378088119318
2012-11-02,3.91476613070472,1.445539392918808,415.17843476534557
2012-11-03,4.436734948132016,2.1533431456355925,831.4993097889236
2012-11-04,3.91476613070472,1.0650566529951278,349.8436428859896
2012-11-05,2.453253441908291,1.6717180075647362,141.43292148738888
2012-11-06,4.2279474211610975,1.5590832980283988,539.3888794193193
2012-11-07,2.5576472053937507,1.6717180075647358,157.0123902889481
2012-11-08,2.4010565601655616,1.1632946696289368,54.52814080545722
2012-11-09,1.826890860995536,1.9187621636005066,147.7358542242198
2012-11-10,2.7664347323646687,1.224028611068502,99.62353917827895
2012-11-11,3.810372367219261,2.291499197367446,727.0596395377625
2012-11-12,10.752557639002298,3.7838082733413354,10852.152528543149
2012-11-13,7.725138497923981,2.4410793726313043,4033.077365258254
2012-11-14,4.019159894190179,2.8128259815498193,1079.376317978026
2012-11-15,2.4010565601655616,1.5636353757389867,119.70672631690596
2012-11-16,4.019159894190179,1.278557264340827,408.71929566060743
2012-11-17,2.818631614107398,1.856254722951954,237.77044460195603
2012-11-18,1.7224970975100768,1.269631799099499,23.36920320233881
2012-11-19,2.2966627966801023,1.2617702263030381,46.73840640467762
2012-11-20,2.9230253775928574,1.4147268345649133,164.8021246897277
2012-11-21,2.5576472053937507,1.1373443121973514,70.10760960701643
2012-11-22,1.826890860995536,2.0226309977151384,169.46204939470272
2012-11-23,6.054838282156634,2.4688724432360725,2210.70053052221
2012-11-24,9.03006054149222,3.0457538274335034,6703.912569563704
2012-11-25,5.428475701243879,2.2368795320926758,1526.737555244377
2012-11-26,3.810372367219261,2.105277356223918,574.2705035199695
2012-11-27,2.870828495850128,1.7899801700771578,230.13691656908364
2012-11-28,4.071356775932909,0.8464211993996656,359.1201789507179
2012-11-29,3.3406004315346944,1.365646139727875,225.4769918641086
2012-11-30,6.5246102178412,3.112234613550057,3044.204256761686
2012-12-01,3.027419141078317,1.4737809583834285,222.34718216830404
2012-12-02,3.4449941950201537,2.284665376762821,542.8367841885985
2012-12-03,5.21968817427296,3.0833256522918213,1852.0432883375536
2012-12-04,4.854310002073853,3.097584413397446,1688.3346082231765
2012-12-05,6.994382153525766,3.0218578432809577,3760.462927563209
