Date,Mean_WindSpeed,Std_WindSpeed,Total_Power_kW
2012-10-02,0.6263625809127552,0.7388169935360532,0.0
2012-10-03,1.9834815062237248,1.72939473174867,104.28346388325397
2012-10-04,2.1922690331946435,2.0650562755982973,213.07064610357577
2012-10-05,3.8625692489619907,1.6485996673635563,477.383416948897
2012-10-06,3.9669630124474495,1.5081038728837235,474.9160637322832
2012-10-07,4.175750539418368,1.9778596869393552,757.3189699409992
2012-10-08,1.5659064522818882,1.4425862960798224,37.30566397204212
2012-10-09,2.9230253775928574,1.4147268345649133,192.83125259704153
2012-10-10,3.4449941950201537,2.644562377989253,727.8030403697367
2012-10-11,7.203169680496685,2.1301133059902555,3125.118517442601
2012-10-12,4.802113120331123,3.4784604626593985,1966.1961650872634
2012-10-13,3.91476613070472,2.6461744246967074,894.0167047082896
2012-10-14,0.6785594626554848,1.278557264340827,15.579468801559205
2012-10-15,4.6455224751029345,1.8277011918674957,856.9048781117165
2012-10-16,7.464154089210333,2.435832867615862,3815.2282190893575
2012-10-17,2.5576472053937507,1.7899801700771578,164.8021246897277
2012-10-18,3.810372367219261,2.8249285515254914,969.4147468295697
2012-10-19,5.480672582986608,3.019504920831783,2004.9886307232537
2012-10-20,3.392797313277424,2.039428221747542,453.7394320183056
2012-10-21,2.9230253775928574,0.7980135597807397,84.04407037671973
2012-10-22,2.60984408713648,1.1030828848743344,76.25433597594014
2012-10-23,0.7307563443982144,1.1030828848743346,7.7897344007796026
2012-10-24,1.5659064522818882,1.1826842495844927,7.7897344007796026
2012-10-25,1.7746939792528063,1.5193725516732193,60.67486717438093
2012-10-26,3.3406004315346944,3.1272707514779734,933.5958845214763
2012-10-27,4.906506883816582,1.378080200251331,854.8685129912624
2012-10-28,4.802113120331123,1.7195029743588557,906.8164075574205
2012-10-29,6.420216454355741,2.256493332836852,2443.5419510285983
2012-10-30,8.925666778006763,2.1951849321112644,5850.883047335825
2012-10-31,11.117935811201406,2.316179491340426,10875.79651347374
2012-11-01,7.359760325724873,2.09986879916701,3299.515273270531
2012-11-02,5.950444518671174,1.2929297386880931,1525.7570036917118
2012-11-03,5.16749129253023,1.5370456764354472,1065.8275319592606
2012-11-04,3.392797313277424,1.010260763129421,195.9610622928461
2012-11-05,2.7142378506219393,1.3147344756524921,113.55999994798225
2012-11-06,2.4010565601655616,1.1632946696289366,46.73840640467762
2012-11-07,1.6703002157673472,1.5960271195614792,74.61132794408424
2012-11-08,3.288403549791965,1.0325281377991486,180.38159349128688
2012-11-09,0.5741656991700256,1.1069420787672044,7.7897344007796026
2012-11-10,1.826890860995536,1.8089390061612518,97.98053114642305
2012-11-11,1.7224970975100768,1.6022494711110133,60.67486717438093
2012-11-12,5.741656991700256,2.687219362131953,2038.9273342788006
2012-11-13,6.211428927384823,1.6303921182745573,1863.3938205302977
2012-11-14,4.541128711617476,1.9128263035494955,862.1896282883204
2012-11-15,0.4175750539418368,0.8793681135214884,0.0
2012-11-16,1.043937634854592,0.7980135597807395,0.0
2012-11-17,0.7829532261409441,1.0966207151204974,0.0
2012-11-18,0.521968817427296,0.8985565861143329,0.0
2012-11-19,1.1483313983400512,1.220539686315652,15.579468801559205
2012-11-20,0.5741656991700256,0.9032900161588304,0.0
2012-11-21,0.2087875269709184,0.6032415491534894,0.0
2012-11-22,0.8873469896264031,1.4056547484747925,23.36920320233881
2012-11-23,3.236206668049235,1.8439615100791267,400.11089841272985
2012-11-24,6.733397744812119,1.8401030385774604,2478.773618872625
2012-11-25,7.464154089210332,1.6717180075647358,3209.243532172104
2012-11-26,3.5493879585056125,1.1485376915957064,261.29585417220204
2012-11-27,3.1318129045637764,1.5231102511752141,223.99019020015993
2012-11-28,2.1922690331946435,1.182684249584493,31.15893760311841
